date,symbol,open,high,low,close,volume
02/01/2015,NVDA,0.483143508,0.486743709,0.475463119,0.483143508,113680000
05/01/2015,NVDA,0.483143563,0.484583643,0.472823064,0.474983156,197952000
06/01/2015,NVDA,0.475703224,0.476183242,0.460102477,0.460582495,197764000
07/01/2015,NVDA,0.463942591,0.468022809,0.457942305,0.459382385,321808000
08/01/2015,NVDA,0.464662687,0.479543422,0.464422664,0.476663262,283780000
09/01/2015,NVDA,0.478343312,0.482183507,0.471862979,0.478583306,209540000
12/01/2015,NVDA,0.479783339,0.480023362,0.468262784,0.472582996,190732000
13/01/2015,NVDA,0.476183124,0.485783581,0.468502764,0.471862912,236720000
14/01/2015,NVDA,0.466822755,0.475223156,0.465622697,0.473783076,155260000
15/01/2015,NVDA,0.47714325,0.480023382,0.470182901,0.470422924,188932000
16/01/2015,NVDA,0.469702868,0.479543349,0.468262788,0.479063332,181512000
20/01/2015,NVDA,0.482423419,0.485063527,0.474503036,0.48050335,140308000